"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"응용 프로그램별 권한 설정에서 CLSID가 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
이고 APPID가 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32512","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","8772","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 1:05:54 AM","cafb471d-6cc0-0000-515b-0bcbc06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
이고 APPID가 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32511","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","3744","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 12:54:57 AM","cafb471d-6cc0-0004-ef94-ffcac06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
이고 APPID가 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32507","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","20168","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 12:28:33 AM","cafb471d-6cc0-0002-a096-08cbc06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
이고 APPID가 
{8BC3F05E-D86B-11D0-A075-00C04FB68820}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(S-1-15-2-719612588-2374106794-1480566723-2098297151-1855457291-3555385412-1188288742)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32502","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","20168","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 12:20:29 AM","cafb471d-6cc0-0008-5d21-fecac06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
이고 APPID가 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32499","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","19604","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 12:15:05 AM","cafb471d-6cc0-000e-50ba-fdcac06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
이고 APPID가 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DT\zinpi SID(S-1-5-21-3843888092-660805983-3388631941-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32498","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","22832","DT","S-1-5-21-3843888092-660805983-3388631941-1001","12/15/2025 12:14:38 AM","cafb471d-6cc0-0002-1d28-02cbc06cdc01",,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
이고 APPID가 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 NT AUTHORITY\LOCAL SERVICE SID(S-1-5-19)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32491","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","15656","DT","S-1-5-19","12/15/2025 12:11:31 AM",,,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"응용 프로그램별 권한 설정에서 CLSID가 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
이고 APPID가 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 NT AUTHORITY\LOCAL SERVICE SID(S-1-5-19)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다.","10016","0","0","3","0","0","-9187343239835811840","32490","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1684","22832","DT","S-1-5-19","12/15/2025 12:11:31 AM",,,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"NtpClient는 'time.windows.com,0x9'의 DNS 확인 오류로 인해 시간 원본으로 사용할 수동 피어를 설정하지 못했습니다. NtpClient는 15분 내에 다시 시도하고 그 후로는 재시도 간격을 두 배로 합니다. 오류: 알려진 호스트가 없습니다. (0x80072AF9)","134","0",,"3","0","0","-9223372036854775808","32484","Microsoft-Windows-Time-Service","06edcfeb-0fd0-4e53-acca-a6f8bbf81bcb","System","22592","22596","DT","S-1-5-19","12/15/2025 12:11:29 AM",,,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고","정보",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Intel(R) Ethernet Controller (3) I225-V
 네트워크 링크가 분리되었습니다.
","27","0","40964","3","0","0","36028797018963968","32476","e2fexpress",,"System","4","10200","DT",,"12/15/2025 12:11:28 AM",,,"c:\users\zinpi\desktop\251215_sys.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","경고",,"없음","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
